13,5,5,300
33,45,5,300
42,44,5,300
48,31,5,300
16,27,5,300
7,44,5,300
21,34,5,300
1,8,5,300
49,15,5,300
12,18,5,300
6,5,5,300
13,39,5,300
21,24,5,300
38,38,5,300
11,17,5,300
47,2,5,300
22,25,5,300
18,29,5,300
10,38,5,300
14,40,5,300
8,0,5,300
34,47,5,300
4,29,5,300
44,10,5,300
28,27,5,300
7,30,5,300
43,8,5,300
7,20,5,300
33,14,5,300
5,45,5,300
21,44,5,300
43,1,5,300
5,43,5,300
31,11,5,300
25,40,5,300
40,19,5,300
15,7,5,300
36,48,5,300
7,19,5,300
21,4,5,300
8,9,5,300
18,28,5,300
22,1,5,300
15,50,5,300
18,4,5,300
49,20,5,300
46,39,5,300
6,15,5,300
26,0,5,300
40,11,5,300
